state,city,address,postal_code,phone_number,latitude,longitude
Alabama,Prattville,2566 Cobbs Ford Rd,36066,(334) 285-0040,32.459169,-86.391343
Alabama,Tuscaloosa,1203 University Blvd,35401,(205) 391-2121,33.21066866513092,-87.55362088910408
Alabama,Tuscaloosa,1800 McFarland Blvd E,35404,(205) 391-0140,33.19676916228953,-87.52703202203561
Alabama,Vestavia Hills,1031 Montgomery Hwy,35216,(205) 823-1053,33.439069161673594,-86.78828456747647
Arizona,Avondale,9925 W McDowell Rd,85392,(623) 907-1122,33.464389688565106,-112.27317616931153
Arizona,Buckeye,944 S Watson Rd,85326,(623) 691-6919,33.43822778341178,-112.55837977052872
Arizona,Casa Grande,1775 E Florence Blvd,85122,(520) 421-4457,32.8791300574308,-111.71123532758008
Arizona,Cave Creek,5355 E Carefree Hwy,85331,(602) 325-3394,33.798760042857715,-111.96635746382505
Arizona,Chandler,1055 W Chandler Blvd,85224,(602) 742-3574,33.30549462745462,-111.86011763369193
Arizona,Chandler,2895 S Alma School Rd,85286,(480) 786-1122,33.2639222376452,-111.85726059752221
Arizona,Chandler,3395 W Chandler Blvd,85226,(480) 499-2884,33.30528109389568,-111.89998219286281
Arizona,Chandler,890 N 54th St,85226,(480) 783-0200,33.317420390822654,-111.96882761900793
Arizona,Flagstaff,1111 S Plaza Way,86001,(928) 774-4254,35.18986,-111.661643
Arizona,Flagstaff,4409 N US Highway 89,86004,(928) 433-3844,35.22332797052031,-111.58526951285657
Arizona,Gilbert,1084 S Gilbert Rd,85296,(480) 892-8307,33.32988022270755,-111.79089592376448
Arizona,Gilbert,1546 N Cooper Rd,85233,(480) 632-1875,33.37792420216465,-111.80763961039872
Arizona,Gilbert,2224 E Williams Field Rd,85295,(602) 429-2162,33.30783135227586,-111.74280506193034
Arizona,Gilbert,3757 S Gilbert Rd,85297,(480) 963-8585,33.28188695150705,-111.78889024926309
Arizona,Gilbert,3785 S Val Vista Dr,85297,(928) 701-6051,33.28174926610554,-111.75468798648177
Arizona,Glendale,20004 N 67th Ave,85308,(623) 240-1289,33.66586688567123,-112.20341053026442
Arizona,Glendale,5849 W Northern Ave,85301,(623) 215-0173,33.552412562708156,-112.18544568239622
Arizona,Glendale,5880 W Thunderbird Rd,85306,(602) 504-2776,33.61131275531313,-112.18452254968548
Arizona,Glendale,7700 W Arrowhead Towne Ctr,85308,(623) 240-2694,33.641830668399315,-112.22529981458467
Arizona,Glendale,9405 W Glendale Ave,85305,(623) 239-4906,33.53689036221647,-112.26094486330905
Arizona,Goodyear,1560 N Litchfield Rd,85395,(623) 536-0025,33.463806634713315,-112.35866282944778
Arizona,Goodyear,655 S Cotton Ln,85338,(602) 601-2987,33.4394938,-112.4268431
Arizona,Green Valley,18725 S Nogales Hwy,85614,(520) 468-6356,31.909951,-110.9799733
Arizona,Kingman,3455 N Stockton Hill Rd,86409,(928) 757-2610,35.22399203679119,-114.03705752131305
Arizona,Lake Havasu City,55 Lake Havasu Ave S,86403,(928) 680-0540,34.47168615086052,-114.34267294474495
Arizona,Laveen,5130 W Baseline Rd,85339,(602) 777-5072,33.379389711654824,-112.16905083754398
Arizona,Marana,5940 W Arizona Pavillions Dr,85743,(520) 744-5012,32.354884717102536,-111.09165199846211
Arizona,Maricopa,21423 N John Wayne Pkwy,85139,(520) 374-0331,33.07352392871503,-112.04274078834322
Arizona,Mesa,1229 E McKellips Rd,85203,(480) 833-6547,33.451019327889625,-111.80313939936569
Arizona,Mesa,1335 S Alma School Rd,85210,(480) 833-0717,33.38960599017438,-111.85682718956662
Arizona,Mesa,1411 S Power Rd,85206,(480) 807-0477,33.38985461122482,-111.68395069882871
Arizona,Mesa,1955 S Signal Butte Rd,85209,(480) 499-9636,33.37942481813418,-111.60094897883607
Arizona,Mesa,2849 N Power Rd,85215,(480) 265-4916,33.46790531239631,-111.68346853282071
Arizona,Mesa,3440 E Baseline Rd,85204,(480) 822-6622,33.37966761390607,-111.75581290980438
Arizona,Mesa,4984 S Power Rd,85212,(480) 988-6935,33.32550687825606,-111.6875981837469
Arizona,Mesa,9259 E. Ray Road,85212,(480) 520-6775,33.3214659,-111.6321079
Arizona,Nogales,337 W Mariposa Rd,85621,(520) 839-0133,31.36627384478192,-110.93666202592973
Arizona,Oro Valley,10604 N Oracle Rd,85737,(520) 797-5510,32.3987337,-110.9557397
Arizona,Payson,108 S Beeline Hwy,85541,(928) 267-0745,34.23940128234288,-111.3236345160877
Arizona,Peoria,16680 N 83rd Ave,85382,(623) 487-1907,33.63626807976065,-112.23411100604244
Arizona,Peoria,28576 N El Mirage Rd,85383,(602) 669-9476,33.74181955217287,-112.32317113119414
Arizona,Peoria,9940 W Happy Valley Pkwy,85383,(623) 362-1252,33.711451,-112.273128
Arizona,Phoenix,11 W Washington St,85003,(602) 513-5751,33.44810001399615,-112.07450891917203
Arizona,Phoenix,1515 N 7th Ave,85007,(602) 314-8127,33.46554843258087,-112.0823849754916
Arizona,Phoenix,1660 E Camelback Rd,85016,(602) 274-4455,33.51037506402035,-112.04622043510204
Arizona,Phoenix,16635 N Tatum Blvd,85032,(602) 992-0432,33.63818544112361,-111.97738650921002
Arizona,Phoenix,1818 W Bethany Home Rd,85015,(623) 207-7338,33.5243797,-112.0986855
Arizona,Phoenix,1838 W Baseline Rd,85041,(480) 520-4470,33.3777629,-112.0975448
Arizona,Phoenix,21001 N Tatum Blvd,85050,(480) 473-5019,33.67474793839745,-111.97526479938048
Arizona,Phoenix,2415 E Baseline Rd,85042,(602) 283-9500,33.37724065500963,-112.02990183545892
Arizona,Phoenix,2450 W Bell Rd,85023,(602) 354-3877,33.640372836488105,-112.1122786414017
Arizona,Phoenix,2470 W Happy Valley Rd,85085,(623) 215-0900,33.714789543328116,-112.11303150518675
Arizona,Phoenix,3009 W Agua Fria Fwy,85027,(480) 285-0923,33.66665768531911,-112.12322165701374
Arizona,Phoenix,3039 W Peoria Ave,85029,(602) 944-5060,33.581530994407736,-112.12515731554271
Arizona,Phoenix,3125 E Indian School Rd,85016,(602) 957-5080,33.49495085405304,-112.01463337627501
Arizona,Phoenix,3185 E Bell Rd,85032,(480) 618-4174,33.63859900338824,-111.99906302367391
Arizona,Phoenix,4111 E Chandler Blvd,85048,(480) 759-4820,33.30479751662666,-111.99361395337297
Arizona,Phoenix,425 E Bell Rd,85022,(602) 441-0740,33.63993406534886,-112.06746827976605
Arizona,Phoenix,4423 E. Thomas Road,85018,(602) 522-2394,33.47971018719496,-111.98621165153793
Arizona,Phoenix,4622 E Cactus Rd,85032,(602) 283-3941,33.59949685496199,-111.98174381043337
Arizona,Phoenix,4705 E Broadway Rd,85040,(602) 431-1645,33.406421,-111.979649
Arizona,Phoenix,52 E Camelback Road,85012,(602) 200-9416,33.50968977590201,-112.07169147254652
Arizona,Phoenix,7427 W Thomas Rd,85033,(623) 240-1662,33.479676480750506,-112.21983422329617
Arizona,Prescott,351 N Montezuma St,86301,(928) 778-0525,34.54663162772478,-112.46924604662706
Arizona,Prescott Valley,5791 E State Route 69,86314,(928) 277-8299,34.578132604857586,-112.36259867771062
Arizona,Queen Creek,170 W Ocotillo,85140,(480) 903-5286,33.249137,-111.567125
Arizona,Queen Creek,21172 S Ellsworth Loop Rd,85142,(480) 214-9200,33.256185336370194,-111.63888845969365
Arizona,San Tan Valley,1371 W Hunt Hwy,85143,(480) 870-5311,33.175902,-111.58097
Arizona,Scottsdale,11015 N Scottsdale Rd,85254,(480) 951-4555,33.58595737304114,-111.92558185222026
Arizona,Scottsdale,15035 N Thompson Peak Pkwy,85260,(480) 661-5650,33.622401247673174,-111.873954738914
Arizona,Scottsdale,15425 N Scottsdale Rd,85254,(480) 367-1218,33.6262957,-111.9248201
Arizona,Scottsdale,20851 N Scottsdale Rd,85255,(480) 397-4092,33.67624139841698,-111.92401394661744
Arizona,Scottsdale,2805 N Scottsdale Rd,85257,(480) 404-6296,33.479336912764616,-111.92576791791788
Arizona,Scottsdale,4513 N Scottsdale Rd,85251,(480) 684-1090,33.50337052422998,-111.92569464601536
Arizona,Scottsdale,7014 E Camelback Rd,85251,(480) 941-4786,33.50399472511519,-111.92985740478647
Arizona,Scottsdale,8099 E McDowell Rd,85257,(602) 830-4644,33.4653577,-111.9073883
Arizona,Scottsdale,9010 E Talking Stick Way,85250,(480) 270-5370,33.5386903,-111.8876449
Arizona,Scottsdale,9301 E Shea Blvd,85260,(480) 860-6901,33.58028500000003,-111.88103432944774
Arizona,Sedona,361 Forest Rd,86336,(928) 282-5800,34.8684072035899,-111.76191730343372
Arizona,Sierra Vista,480 N Highway 90 Byp,85635,(520) 459-3562,31.55986473884307,-110.25793857170959
Arizona,Surprise,13869 W Bell Rd,85374,(623) 544-2363,33.63829071307527,-112.3590925355993
Arizona,Surprise,16810 W Waddell Rd,85388,(623) 265-6570,33.61048202336274,-112.42057356588008
Arizona,Tempe,1038 S Mill Ave,85281,(480) 273-8800,33.41798133570578,-111.94040165583704
Arizona,Tempe,1655 W Elliot Rd,85284,(623) 231-3098,33.348634,-111.965379
Arizona,Tempe,2000 E Rio Salado Pkwy,85288,(480) 829-0600,33.43397487875809,-111.90131958046948
Arizona,Tempe,2020 E Elliot Rd,85284,(480) 491-2569,33.3497932916613,-111.9014793061342
Arizona,Tempe,815 E Baseline Rd,85283,(480) 214-2122,33.37791758045822,-111.92908496080338
Arizona,Tucson,1202 W Irvington Rd,85714,(520) 294-0059,32.16395431844095,-110.9896125263815
Arizona,Tucson,1903 E Speedway Blvd,85719,(520) 302-4250,32.236527850280545,-110.94345887360345
Arizona,Tucson,235 W Wetmore Rd,85705,(520) 888-0444,32.286187017960835,-110.97557047489722
Arizona,Tucson,3055 N Campbell Ave,85719,(520) 325-1261,32.262380049822575,-110.94409368921954
Arizona,Tucson,3510 S Kino Pkwy,85713,(520) 999-3100,32.18393151018072,-110.94504076352588
Arizona,Tucson,4857 E Grant Rd,85712,(520) 910-0932,32.25177128286577,-110.89006690858098
Arizona,Tucson,5353 E Broadway Blvd,85711,(520) 675-0484,32.222638975945905,-110.87664834462115
Arizona,Tucson,6501 E Grant Rd,85715,(520) 296-1163,32.25026412653463,-110.85154298893758
Arizona,Tucson,7555 N La Cholla Blvd,85741,(520) 544-3868,32.343577682700435,-111.0133044276954
Arizona,Tucson,905 E University Blvd,85719,(520) 628-7967,32.231921707186025,-110.95746181562401
Arizona,Tucson,9484 E 22nd St,85710,(520) 203-0004,32.20596149006868,-110.79014354983957
Arizona,Yuma,1525 S Yuma Palms Pkwy,85365,(928) 783-3044,32.69978529949036,-114.60102888404407
Arizona,Yuma,3080 S 4th Avenue,85364,(928) 257-1776,32.699878140781735,-114.60100324176364
Arkansas,Bentonville,2400 SE Walton Blvd,72712,(479) 271-2393,36.33465562169019,-94.18511392344067
Arkansas,Conway,915 E Oak St,72032,(501) 504-2416,35.09110110357849,-92.41822973628291
Arkansas,Fayetteville,3379 N College Ave,72703,(479) 251-1175,36.11273654734074,-94.14538540335559
Arkansas,Fayetteville,550 W Dickson St,72701,(479) 444-1466,36.066736703377906,-94.16612579287357
Arkansas,Fort Smith,6205 Rogers Ave,72903,(479) 397-3244,35.36003037317708,-94.36369345648347
Arkansas,Jonesboro,1737 S Caraway Rd,72401,(870) 275-4038,35.82368295731481,-90.67842810504261
Arkansas,Little Rock,100 S University Ave,72205,(501) 404-2557,34.75201036980043,-92.34153181349183
Arkansas,Little Rock,11525 Cantrell Rd,72212,(501) 221-0018,34.793543504482834,-92.40281714293958
Arkansas,Little Rock,12524 Chenal Pkwy,72211,(501) 451-6783,34.75374197773934,-92.41274805453453
Arkansas,North Little Rock,3917 McCain Blvd,72116,(501) 441-3940,34.79124760029005,-92.22818043189754
California,Alameda,2314 S Shore Ctr,94501,(510) 337-1592,37.756040876734254,-122.25041514023036
California,Alameda,2610 5th St,94501,(510) 748-8949,37.78614100776162,-122.28120659723874
California,Alhambra,2121 W Main St,91801,(626) 284-5509,34.09190525021675,-118.14524596502972
California,Aliso Viejo,26661 Aliso Creek Rd,92656,(949) 362-7539,33.57698001431661,-117.72542602602846
California,Anaheim,2002 E Lincoln Ave,92806,(714) 991-1160,33.83957989941753,-117.88867467392521
California,Anaheim,2085 E Katella Ave,92806,(657) 223-8051,33.804139166756975,-117.88643166539222
California,Anaheim,5631 E La Palma Ave,92807,(714) 693-0882,33.860569750992006,-117.79228294204808
California,Anaheim,8182 E Santa Ana Canyon Rd,92808,(714) 283-3092,33.86802786130575,-117.74815098742596
California,Anaheim,927 S Euclid St,92802,(657) 549-6350,33.81873915326949,-117.94176619322118
California,Apple Valley,19179 Bear Valley Rd,92308,(760) 240-5703,34.47069588108122,-117.2457914536875
California,Arcadia,400 S Baldwin Ave,91007,(626) 701-5122,34.13572656223666,-118.04973664929628
California,Arroyo Grande,1229 E Grand Ave,93420,(805) 481-0012,35.12017354508283,-120.60171216458565
California,Atascadero,6435 Morro Rd,93422,(805) 859-0004,35.48399132328144,-120.6651525887499
California,Auburn,2845 Bell Rd,95603,(530) 888-1438,38.94107203078852,-121.0960654484235
California,Azusa,1250 W Foothill Blvd,91702,(626) 513-0000,34.13323576035784,-117.92699809727334
California,Azusa,860 E Alosta Ave,91702,(626) 969-8274,34.12814641664687,-117.89157162822437
California,Bakersfield,10510 Stockdale Hwy,93311,(661) 663-9329,35.35212176910199,-119.11911787270185
California,Bakersfield,2630 Mount Vernon Ave,93306,(661) 872-3577,35.39223261450192,-118.96794031141218
California,Bakersfield,2701 Ming Ave,93304,(661) 398-6274,35.3377069,-119.0351604
California,Bakersfield,3345 Buena Vista Rd,93311,(661) 529-3575,35.3241043,-119.1285617
California,Bakersfield,4580 Coffee Rd,93308,(661) 281-0408,35.40116339582047,-119.091834844792
California,Bakersfield,4950 Stockdale Hwy,93309,(661) 335-0400,35.35453087454825,-119.05705893741703
California,Bakersfield,5321 Gosford Rd,93313,(661) 281-0372,35.30652183893728,-119.09252875520804
California,Bakersfield,9723 Panama Ln,93311,(661) 529-3564,35.2960076,-119.1110519
California,Baldwin Hills,3939 Crenshaw Blvd,90008,(323) 347-2108,34.01332168178815,-118.3366309735149
California,Baldwin Park,13916 Garvey Ave,91706,(626) 337-7362,34.06929200258029,-117.97212920502885
California,Banning,300 S Highland Springs Ave,92220,(951) 769-5450,33.924673248896525,-116.94639329323631
California,Barstow,2590 High Point Pkwy,92311,(760) 253-7480,34.8528123628865,-117.08279671145499
California,Berkeley,1050 Gilman St,94710,(510) 526-6047,37.87939337077996,-122.2963244817883
California,Berkeley,2225 Shattuck Ave,94704,(510) 647-9166,37.8688732912193,-122.26748664723874
California,Berkeley,2311 Telegraph Ave,94704,(510) 548-0340,37.868384336918915,-122.25895608037399
California,Beverly Hills,244 S Beverly Dr,90212,(310) 273-8265,34.063323794483836,-118.39882933026638
California,Brea,1065 Brea Mall,92821,(714) 784-2027,33.91556014878462,-117.88656214737972
California,Brea,477 S Associated Rd,92821,(714) 582-6519,33.91179690220889,-117.88205261146413
California,Brentwood,5401 Lone Tree Way,94513,(925) 516-9012,37.96126017826663,-121.74884971530332
California,Brentwood,7580 Brentwood Blvd,94513,(925) 390-0147,37.9453441,-121.6958194
California,Buena Park,5976 Orangethorpe Ave,90620,(714) 752-5041,33.85831428190834,-118.03057717907734
California,Burbank,135 E Palm Ave,91502,(818) 842-0622,34.18195878665414,-118.31143974113996
California,Burbank,4012 W Riverside Dr,91505,(818) 561-2004,34.151663886857776,-118.34332814293958
California,Cabazon,48557 Morongo Trl,92230,(951) 922-2264,33.923300749294484,-116.80540401356373
California,Camarillo,660 Ventura Blvd,93010,(805) 482-0618,34.21725346260006,-119.06555787396223
California,Campbell,1815 S Bascom Ave,95008,(408) 371-5284,37.29088001186664,-121.93205873037397
California,Canoga Park,6600 Topanga Canyon Blvd,91303,(747) 888-5228,34.19001842367065,-118.60351277654955
California,Capitola,1955 41st Ave,95010,(831) 295-6076,36.97793296544234,-121.96629033430656
California,Carlsbad,2505 Palomar Airport Rd,92011,(760) 607-3220,33.12801536407042,-117.27044465652875
California,Carlsbad,3416 Via Mercato,92009,(760) 400-0056,33.081846051416996,-117.23594035921002
California,Carson,20420 Avalon Blvd,90746,(310) 217-0034,33.846571303188675,-118.26345516132488
California,Castro Valley,3369 Castro Valley Blvd,94546,(510) 582-8643,37.69534808292011,-122.07682173834326
California,Ceres,2870 E Service Rd,95307,(209) 496-9105,37.5799792126156,-120.94179581646843
California,Cerritos,10826 Alondra Blvd,90703,(562) 402-4099,33.88591759076357,-118.10198009524986
California,Cerritos,12560 Artesia Blvd,90703,(562) 653-0701,33.87279148159613,-118.06421767787731
California,Cerritos,459 Los Cerritos Mall,90703,(562) 402-0943,33.8619,-118.092552
California,Chatsworth,9175 De Soto Ave,91311,(818) 671-2902,34.23752415197358,-118.58913502915061
California,Chico,1960 E 20th St,95928,(530) 879-1623,39.72754269084902,-121.80506296936574
California,Chico,620 Mangrove Ave,95926,(530) 343-8707,39.73437615123794,-121.83515019816491
California,Chico,962 East Ave,95926,(530) 924-5953,39.76118,-121.8422
California,Chino,12188 Central Ave,91710,(909) 539-0547,34.03190485597059,-117.69030120491084
California,Chino,8417 Pine Ave.,91708,(840) 218-4795,33.9589151,-117.6200861
California,Chino Hills,13920 City Center Dr,91709,(909) 548-3721,34.00052695549834,-117.73128948798481
California,Chula Vista,2290 Otay Lakes Rd,91915,(619) 421-0078,32.6471146,-116.9656259
California,Chula Vista,569 H St,91910,(619) 761-5847,32.631538330080154,-117.0880960495063
California,Chula Vista,720 Otay Lakes Rd,91910,(619) 761-5452,32.646182,-117.002625
California,Citrus Heights,5851 Sunrise Blvd,95610,(916) 967-7881,38.6720411,-121.2720328
California,City Of Industry,15495 Valley Blvd,91746,(626) 709-3534,34.02196253770011,-117.95960891159734
California,City Of Industry,17501 Colima Rd,91748,(626) 964-9606,33.991108667992535,-117.92463514846213
California,Claremont,885 S Indian Hill Blvd,91711,(909) 398-4497,34.07975728465649,-117.71955228297796
California,Clovis,1210 Shaw Ave,93612,(559) 298-4708,36.80816451357602,-119.69365285818361
California,Clovis,1840 Herndon Ave,93611,(559) 323-4261,36.837102806014755,-119.6829132847252
California,Colma,990 Serramonte Blvd,94014,(415) 840-7007,37.67119213613535,-122.46439892638864
California,Commerce,150 Citadel Dr,90040,(323) 728-2268,34.005528296175974,-118.15293999273166
California,Compton,1759 S Alameda St,90220,(310) 933-0107,33.87653521836164,-118.2178387895666
California,Concord,2002 Salvio St,94520,(925) 969-7751,37.9767127,-122.0354564
California,Concord,5434 Ygnacio Valley Rd,94521,(925) 304-1080,37.94999400485539,-121.95879676113468
California,Concord,785 Oak Grove Rd,94518,(925) 566-5005,37.93720862373058,-122.02542678814535
California,Corona,1160 E Ontario Ave,92881,(951) 444-2000,33.84761569537094,-117.54381688956664
California,Corona,2560 Tuscany St,92881,(951) 340-2489,33.823651,-117.5165168
California,Corona Del Mar,3050 E Coast Hwy,92625,(949) 274-8843,33.598502531784824,-117.87155991534424
California,Coronado,1360 Orange Ave,92118,(619) 365-4287,32.6825342,-117.1786497
California,Costa Mesa,2300 Harbor Blvd,92626,(949) 646-1288,33.658184766787244,-117.91865890867801
California,Costa Mesa,260 Bristol St,92626,(657) 212-3017,33.667879243081295,-117.88292481349183
California,Costa Mesa,468 E 17th St,92627,(949) 688-2868,33.62944251257753,-117.90953340965524
California,Culver City,4114 Sepulveda Blvd,90230,(424) 216-3171,34.007161815291546,-118.41262312546246
California,Culver City,6000 Sepulveda Blvd,90230,(310) 773-9047,33.98562677521357,-118.39336051175782
California,Culver City,6150 W Slauson Ave,90230,(310) 313-1051,33.98811135886199,-118.39300704814138
California,Culver City,9512 Culver Blvd,90232,(310) 841-0561,34.0233754,-118.3943383
California,Cupertino,10385 S De Anza Blvd,95014,(408) 252-5421,37.31726503354268,-122.03278998505789
California,Cupertino,20688 Homestead Rd,95014,(408) 257-7682,37.337315054598356,-122.03648371994058
California,Cypress,6859 Katella Ave,90630,(714) 947-7028,33.80372614549295,-118.01252306588651
California,Daly City,213 Westlake Ctr,94015,(650) 757-4587,37.70148181035406,-122.4824343131621
California,Danville,33 Railroad Ave,94526,(925) 553-3920,37.82315928914039,-122.00409490062907
California,Davis,227 E St,95616,(530) 758-3599,38.5440526,-121.7415034
California,Del Mar,2710 Via De La Valle,92014,(858) 724-1181,32.9812865943242,-117.24979818185977
California,Delano,503 Woollomes Avenue,93215,(661) 561-5393,35.74749449999999,-119.2479208
California,Diamond Bar,235 S Diamond Bar Blvd,91765,(909) 396-0666,34.02087757522673,-117.81055878105349
California,Downey,8500 Firestone Blvd,90241,(562) 622-1987,33.9378076569092,-118.12955238646725
California,Downey,8890 Apollo Way,90242,(562) 803-4354,33.92222904425112,-118.13154774014572
California,Dublin,5240 Dublin Blvd,94568,(925) 479-0862,37.70561684178781,-121.89083598834327
California,Dublin,7020 Amador Plaza Rd,94568,(925) 828-4361,37.706373161666555,-121.92911820179427
California,Eastvale,12411 Limonite Ave,91752,(951) 254-9799,33.97667219672287,-117.55285768220904
California,El Cajon,225 Jamacha Rd,92019,(619) 938-2391,32.79401250323742,-116.93476260142046
California,El Centro,1953 N Imperial Ave,92243,(442) 283-2055,32.8107101,-115.5694551
California,El Cerrito,9901 San Pablo Ave,94530,(510) 900-2658,37.89920809436757,-122.30230887177561
California,El Dorado Hills,4520 Post St,95762,(916) 235-8549,38.65222395461087,-121.0679584911872
California,El Segundo,307 N Pacific Coast Hwy,90245,(310) 426-1437,33.9196429750764,-118.39646644508912
California,Elk Grove,4730 Elk Grove Blvd,95758,(916) 478-0054,38.408341870819115,-121.44929689394961
California,Elk Grove,7440 Laguna Blvd,95758,(916) 478-2360,38.4231808,-121.4155253
California,Elk Grove,7450 Elk Grove Blvd,95757,(279) 800-8758,38.40700456381073,-121.4170904681055
California,Encinitas,242 N El Camino Real,92024,(442) 357-1366,33.049444126487906,-117.26059824586603
California,Escondido,1201 E Valley Pkwy,92027,(760) 884-3002,33.130322653305605,-117.06659018800502
California,Escondido,1282 Auto Park Way,92029,(442) 999-6352,33.113014851997406,-117.10103903834323
California,Escondido,200 E Via Rancho Pkwy,92025,(760) 743-3250,33.071379410599924,-117.06621495515303
California,Eureka,2626 Broadway,95501,(707) 502-3294,40.78425839100063,-124.18422516147618
California,Fair Oaks,5223 Hazel Ave,95628,(916) 536-9205,38.66156637178626,-121.22602352734116
California,Fairfield,1586 Gateway Blvd,94533,(707) 432-0330,38.261633262094044,-122.05847163374688
California,Folsom,1001 E Bidwell St,95630,(916) 983-9374,38.66945594182111,-121.15562516034875
California,Folsom,2379 Iron Point Rd,95630,(916) 605-4040,38.64500627533872,-121.12336725425826
California,Fontana,10515 Sierra Ave,92337,(909) 349-0242,34.0627057,-117.4350364
California,Fontana,16595 Sierra Lakes Pkwy,92336,(909) 350-0054,34.138460305686856,-117.44145879080668
California,Foster City,2019 Chess Dr,94404,(650) 539-3638,37.562540203832256,-122.28064386932886
California,Fountain Valley,17150 Brookhurst St,92708,(714) 377-2698,33.714134,-117.954105
California,Fountain Valley,18951 Brookhurst St,92708,(714) 968-4003,33.68759248664302,-117.95451643741706
California,Fremont,2760 Mowry Ave,94538,(510) 791-8411,37.554397790514614,-121.98171172607476
California,Fremont,44029 Osgood Rd,94539,(510) 657-8802,37.51111452118028,-121.94075768554939
California,Fremont,5565 Auto Mall Pkwy,94538,(510) 979-9397,37.50434624597707,-121.97563680350913
California,Fresno,3520 N Blackstone Ave,93726,(559) 243-7418,36.78161964568193,-119.79007662149581
California,Fresno,4424 W Shaw Ave,93722,(559) 274-9973,36.80942382028508,-119.87181903191185
California,Fresno,4978 N Cedar Ave,93726,(559) 490-0136,36.8081309228704,-119.75344405147962
California,Fresno,5128 N Palm Ave,93704,(559) 225-1166,36.81108327268125,-119.8080885580822
California,Fresno,6702 N Brawley Ave,93711,(559) 550-1809,36.83564343834002,-119.86199011716194
California,Fresno,80 E Nees Ave,93720,(559) 490-0605,36.852130620865516,-119.78899949694159
California,Fullerton,101 E Orangethorpe Ave,92832,(714) 578-6764,33.859725096408425,-117.92382825257039
California,Fullerton,501 N State College Blvd,92831,(714) 525-2121,33.87455997679416,-117.8901444286216
California,Garden Grove,9737 Chapman Ave,92841,(714) 590-1258,33.78884075207645,-117.96322514508915
California,Gardena,1755 W Artesia Blvd,90248,(310) 436-4293,33.87347234415794,-118.30884125214959
California,Gilroy,6955 Camino Arroyo,95020,(408) 848-4079,37.00297748618977,-121.55199715368747
California,Glendale,1135 Glendale Galleria,91210,(818) 507-8455,34.145124,-118.259326
California,Glendale,132 N Glendale Ave,91206,(818) 244-5091,34.14745710452632,-118.24634196073055
California,Glendale,155 N. Brand Blvd.,91203,(818) 543-7652,34.14795064352478,-118.25529353628349
California,Glendora,1365 E Gladstone St,91740,(909) 592-7063,34.11636408347833,-117.83563471440067
California,Gold River,2350 Sunrise Blvd,95670,(916) 852-8724,38.61703934520703,-121.26894929933837
California,Goleta,270 Storke Rd,93117,(805) 685-1265,34.42917694680606,-119.86940571226859
California,Granada Hills,16959 Devonshire St,91344,(747) 300-4570,34.25774798768706,-118.5020815711813
California,Granite Bay,6981 Douglas Blvd,95746,(279) 217-3175,38.743817567922605,-121.17184137749528
California,Hanford,366 N 12th Ave,93230,(559) 582-2021,36.327476827217744,-119.67329958895493
California,Hawthorne,5330 W Rosecrans Ave,90250,(310) 297-0850,33.90123578697386,-118.37322521000647
