state,city,address,zip_code,name,phone,latitude,longitude,url,country
Arizona,Gilbert,1546 N Cooper Rd,85233,Chipotle Cooper & Baseline,(480) 632-1875,33.37792420216465,-111.80763961039872,https://locations.chipotle.com/../az/gilbert/1546-n-cooper-rd,USA
Arizona,Gilbert,2224 E Williams Field Rd,85295,Chipotle SanTan,(602) 429-2162,33.30783135227586,-111.74280506193034,https://locations.chipotle.com/../az/gilbert/2224-e-williams-field-rd,USA
Arizona,Gilbert,3757 S Gilbert Rd,85297,Chipotle Gilbert & 202,(480) 963-8585,33.28188695150705,-111.78889024926309,https://locations.chipotle.com/../az/gilbert/3757-s-gilbert-rd,USA
Arizona,Gilbert,3785 S Val Vista Dr,85297,Chipotle Val Vista & Melrose,(928) 701-6051,33.28174926610554,-111.75468798648177,https://locations.chipotle.com/../az/gilbert/3785-s-val-vista-dr,USA
Arizona,Glendale,20004 N 67th Ave,85308,Chipotle 67th Ave and 101,(623) 240-1289,33.66586688567123,-112.20341053026442,https://locations.chipotle.com/../az/glendale/20004-n-67th-ave,USA
Arizona,Glendale,5849 W Northern Ave,85301,Chipotle Northern Crossing,(623) 215-0173,33.552412562708156,-112.18544568239622,https://locations.chipotle.com/../az/glendale/5849-w-northern-ave,USA
Arizona,Glendale,5880 W Thunderbird Rd,85306,Chipotle 59th & Thunderbird,(602) 504-2776,33.61131275531313,-112.18452254968548,https://locations.chipotle.com/../az/glendale/5880-w-thunderbird-rd,USA
Arizona,Glendale,7700 W Arrowhead Towne Ctr,85308,Chipotle Arrowhead Towne Center,(623) 240-2694,33.641830668399315,-112.22529981458467,https://locations.chipotle.com/../az/glendale/7700-w-arrowhead-towne-ctr,USA
Arizona,Glendale,9405 W Glendale Ave,85305,Chipotle Westgate Glendale Relo,(623) 239-4906,33.53689036221647,-112.26094486330905,https://locations.chipotle.com/../az/glendale/9405-w-glendale-ave,USA
Arizona,Goodyear,1560 N Litchfield Rd,85395,Chipotle Goodyear,(623) 536-0025,33.463806634713315,-112.35866282944778,https://locations.chipotle.com/../az/goodyear/1560-n-litchfield-rd,USA
Arizona,Goodyear,655 S Cotton Ln,85338,Chipotle Canyon Trails,(602) 601-2987,33.4394938,-112.4268431,https://locations.chipotle.com/../az/goodyear/655-s-cotton-ln,USA
Arizona,Green Valley,18725 S Nogales Hwy,85614,Chipotle Sahuarita,(520) 468-6356,31.909951,-110.9799733,https://locations.chipotle.com/../az/green-valley/18725-s-nogales-hwy,USA
Arizona,Kingman,3455 N Stockton Hill Rd,86409,Chipotle Kingman,(928) 757-2610,35.22399203679119,-114.03705752131305,https://locations.chipotle.com/../az/kingman/3455-n-stockton-hill-rd,USA
Arizona,Lake Havasu City,55 Lake Havasu Ave S,86403,Chipotle Lake Havasu,(928) 680-0540,34.47168615086052,-114.34267294474495,https://locations.chipotle.com/../az/lake-havasu-city/55-lake-havasu-ave-s,USA
Arizona,Laveen,5130 W Baseline Rd,85339,Chipotle Laveen,(602) 777-5072,33.379389711654824,-112.16905083754398,https://locations.chipotle.com/../az/laveen/5130-w-baseline-rd,USA
Arizona,Marana,5940 W Arizona Pavillions Dr,85743,Chipotle Cortaro and I-10,(520) 744-5012,32.354884717102536,-111.09165199846211,https://locations.chipotle.com/../az/marana/5940-w-arizona-pavillions-dr,USA
Arizona,Maricopa,21423 N John Wayne Pkwy,85139,Chipotle Maricopa,(520) 374-0331,33.07352392871503,-112.04274078834322,https://locations.chipotle.com/../az/maricopa/21423-n-john-wayne-pkwy,USA
Arizona,Mesa,1229 E McKellips Rd,85203,Chipotle Stapley and McKellips,(480) 833-6547,33.451019327889625,-111.80313939936569,https://locations.chipotle.com/../az/mesa/1229-e-mckellips-rd,USA
Arizona,Mesa,1335 S Alma School Rd,85210,Chipotle Alma School Relo,(480) 833-0717,33.38960599017438,-111.85682718956662,https://locations.chipotle.com/../az/mesa/1335-s-alma-school-rd,USA
Arizona,Mesa,1411 S Power Rd,85206,Chipotle Superstition Springs Relo,(480) 807-0477,33.38985461122482,-111.68395069882871,https://locations.chipotle.com/../az/mesa/1411-s-power-rd,USA
Arizona,Mesa,1955 S Signal Butte Rd,85209,Chipotle Signal Butte and Baseline,(480) 499-9636,33.37942481813418,-111.60094897883607,https://locations.chipotle.com/../az/mesa/1955-s-signal-butte-rd,USA
Arizona,Mesa,2849 N Power Rd,85215,Chipotle Las Sendas,(480) 265-4916,33.46790531239631,-111.68346853282071,https://locations.chipotle.com/../az/mesa/2849-n-power-rd,USA
Arizona,Mesa,3440 E Baseline Rd,85204,Chipotle Dana Park,(480) 822-6622,33.37966761390607,-111.75581290980438,https://locations.chipotle.com/../az/mesa/3440-e-baseline-rd,USA
Arizona,Mesa,4984 S Power Rd,85212,Chipotle Power & 202,(480) 988-6935,33.32550687825606,-111.6875981837469,https://locations.chipotle.com/../az/mesa/4984-s-power-rd,USA
Arizona,Mesa,9259 E. Ray Road,85212,Chipotle Eastmark,(480) 520-6775,33.3214659,-111.6321079,https://locations.chipotle.com/../az/mesa/9259-e-ray-road,USA
Arizona,Nogales,337 W Mariposa Rd,85621,Chipotle Nogales,(520) 839-0133,31.36627384478192,-110.93666202592973,https://locations.chipotle.com/../az/nogales/337-w-mariposa-rd,USA
Arizona,Oro Valley,10604 N Oracle Rd,85737,Chipotle Oro Valley,(520) 797-5510,32.3987337,-110.9557397,https://locations.chipotle.com/../az/oro-valley/10604-n-oracle-rd,USA
Arizona,Payson,108 S Beeline Hwy,85541,Chipotle Payson II,(928) 267-0745,34.23940128234288,-111.3236345160877,https://locations.chipotle.com/../az/payson/108-s-beeline-hwy,USA
Arizona,Peoria,16680 N 83rd Ave,85382,Chipotle Arrowhead Fountains,(623) 487-1907,33.63626807976065,-112.23411100604244,https://locations.chipotle.com/../az/peoria/16680-n-83rd-ave,USA
Arizona,Peoria,28576 N El Mirage Rd,85383,Chipotle Vistancia,(602) 669-9476,33.74181955217287,-112.32317113119414,https://locations.chipotle.com/../az/peoria/28576-n-el-mirage-rd,USA
Arizona,Peoria,9940 W Happy Valley Pkwy,85383,Chipotle Happy Valley,(623) 362-1252,33.711451,-112.273128,https://locations.chipotle.com/../az/peoria/9940-w-happy-valley-pkwy,USA
Arizona,Phoenix,11 W Washington St,85003,Chipotle City Scape,(602) 513-5751,33.44810001399615,-112.07450891917203,https://locations.chipotle.com/../az/phoenix/11-w-washington-st,USA
Arizona,Phoenix,1515 N 7th Ave,85007,Chipotle Encanto,(602) 314-8127,33.46554843258087,-112.0823849754916,https://locations.chipotle.com/../az/phoenix/1515-n-7th-ave,USA
Arizona,Phoenix,1660 E Camelback Rd,85016,Chipotle Camelback,(602) 274-4455,33.51037506402035,-112.04622043510204,https://locations.chipotle.com/../az/phoenix/1660-e-camelback-rd,USA
Arizona,Phoenix,16635 N Tatum Blvd,85032,Chipotle Tatum and Bell,(602) 992-0432,33.63818544112361,-111.97738650921002,https://locations.chipotle.com/../az/phoenix/16635-n-tatum-blvd,USA
Arizona,Phoenix,1818 W Bethany Home Rd,85015,Chipotle 19th and Bethany,(623) 207-7338,33.5243797,-112.0986855,https://locations.chipotle.com/../az/phoenix/1818-w-bethany-home-rd,USA
Arizona,Phoenix,1838 W Baseline Rd,85041,Chipotle Baseline & 19th,(480) 520-4470,33.3777629,-112.0975448,https://locations.chipotle.com/../az/phoenix/1838-w-baseline-rd,USA
Arizona,Phoenix,21001 N Tatum Blvd,85050,Chipotle Desert Ridge,(480) 473-5019,33.67474793839745,-111.97526479938048,https://locations.chipotle.com/../az/phoenix/21001-n-tatum-blvd,USA
Arizona,Phoenix,2415 E Baseline Rd,85042,Chipotle South Mountain,(602) 283-9500,33.37724065500963,-112.02990183545892,https://locations.chipotle.com/../az/phoenix/2415-e-baseline-rd,USA
Arizona,Phoenix,2450 W Bell Rd,85023,Chipotle I-17 & Bell,(602) 354-3877,33.640372836488105,-112.1122786414017,https://locations.chipotle.com/../az/phoenix/2450-w-bell-rd,USA
Arizona,Phoenix,2470 W Happy Valley Rd,85085,Chipotle Nortera,(623) 215-0900,33.714789543328116,-112.11303150518675,https://locations.chipotle.com/../az/phoenix/2470-w-happy-valley-rd,USA
Arizona,Phoenix,3009 W Agua Fria Fwy,85027,Chipotle Deer Valley Town Center,(480) 285-0923,33.66665768531911,-112.12322165701374,https://locations.chipotle.com/../az/phoenix/3009-w-agua-fria-fwy,USA
Arizona,Phoenix,3039 W Peoria Ave,85029,Chipotle Metro Center,(602) 944-5060,33.581530994407736,-112.12515731554271,https://locations.chipotle.com/../az/phoenix/3039-w-peoria-ave,USA
Arizona,Phoenix,3125 E Indian School Rd,85016,Chipotle Arcadia Fiesta,(602) 957-5080,33.49495085405304,-112.01463337627501,https://locations.chipotle.com/../az/phoenix/3125-e-indian-school-rd,USA
Arizona,Phoenix,3185 E Bell Rd,85032,Chipotle 32nd & Bell,(480) 618-4174,33.63859900338824,-111.99906302367391,https://locations.chipotle.com/../az/phoenix/3185-e-bell-rd,USA
Arizona,Phoenix,4111 E Chandler Blvd,85048,Chipotle Ahwatukee,(480) 759-4820,33.30479751662666,-111.99361395337297,https://locations.chipotle.com/../az/phoenix/4111-e-chandler-blvd,USA
Arizona,Phoenix,425 E Bell Rd,85022,Chipotle 7th St. & Bell Road,(602) 441-0740,33.63993406534886,-112.06746827976605,https://locations.chipotle.com/../az/phoenix/425-e-bell-rd,USA
Arizona,Phoenix,4423 E. Thomas Road,85018,Chipotle 44th & Thomas,(602) 522-2394,33.47971018719496,-111.98621165153793,https://locations.chipotle.com/../az/phoenix/4423-e-thomas-road,USA
Arizona,Phoenix,4622 E Cactus Rd,85032,Chipotle Paradise Valley,(602) 283-3941,33.59949685496199,-111.98174381043337,https://locations.chipotle.com/../az/phoenix/4622-e-cactus-rd,USA
Arizona,Phoenix,4705 E Broadway Rd,85040,Chipotle 48th St and Broadway,(602) 431-1645,33.406421,-111.979649,https://locations.chipotle.com/../az/phoenix/4705-e-broadway-rd,USA
Arizona,Phoenix,52 E Camelback Road,85012,Chipotle Uptown,(602) 200-9416,33.50968977590201,-112.07169147254652,https://locations.chipotle.com/../az/phoenix/52-e-camelback-road,USA
Arizona,Phoenix,7427 W Thomas Rd,85033,Chipotle Desert Sky,(623) 240-1662,33.479676480750506,-112.21983422329617,https://locations.chipotle.com/../az/phoenix/7427-w-thomas-rd,USA
Arizona,Prescott,351 N Montezuma St,86301,Chipotle Prescott,(928) 778-0525,34.54663162772478,-112.46924604662706,https://locations.chipotle.com/../az/prescott/351-n-montezuma-st,USA
Arizona,Prescott Valley,5791 E State Route 69,86314,Chipotle Prescott Valley,(928) 277-8299,34.578132604857586,-112.36259867771062,https://locations.chipotle.com/../az/prescott-valley/5791-e-state-route-69,USA
Arizona,Queen Creek,170 W Ocotillo,85140,Chipotle Ironwood & Ocotillo,(480) 903-5286,33.249137,-111.567125,https://locations.chipotle.com/../az/queen-creek/170-w-ocotillo,USA
Arizona,Queen Creek,21172 S Ellsworth Loop Rd,85142,Chipotle Ritten House,(480) 214-9200,33.256185336370194,-111.63888845969365,https://locations.chipotle.com/../az/queen-creek/21172-s-ellsworth-loop-rd,USA
Arizona,San Tan Valley,1371 W Hunt Hwy,85143,Chipotle Hunt & Gary,(480) 870-5311,33.175902,-111.58097,https://locations.chipotle.com/../az/san-tan-valley/1371-w-hunt-hwy,USA
Arizona,Scottsdale,11015 N Scottsdale Rd,85254,Chipotle Scottsdale and Shea,(480) 951-4555,33.58595737304114,-111.92558185222026,https://locations.chipotle.com/../az/scottsdale/11015-n-scottsdale-rd,USA
Arizona,Scottsdale,15035 N Thompson Peak Pkwy,85260,Chipotle Thompson Peak,(480) 661-5650,33.622401247673174,-111.873954738914,https://locations.chipotle.com/../az/scottsdale/15035-n-thompson-peak-pkwy,USA
Arizona,Scottsdale,15425 N Scottsdale Rd,85254,Chipotle Maloney,(480) 367-1218,33.6262957,-111.9248201,https://locations.chipotle.com/../az/scottsdale/15425-n-scottsdale-rd,USA
Arizona,Scottsdale,20851 N Scottsdale Rd,85255,Chipotle Grayhawk,(480) 397-4092,33.67624139841698,-111.92401394661744,https://locations.chipotle.com/../az/scottsdale/20851-n-scottsdale-rd,USA
Arizona,Scottsdale,2805 N Scottsdale Rd,85257,Chipotle Scottsdale and Thomas,(480) 404-6296,33.479336912764616,-111.92576791791788,https://locations.chipotle.com/../az/scottsdale/2805-n-scottsdale-rd,USA
Arizona,Scottsdale,4513 N Scottsdale Rd,85251,Chipotle Downtown Scottsdale,(480) 684-1090,33.50337052422998,-111.92569464601536,https://locations.chipotle.com/../az/scottsdale/4513-n-scottsdale-rd,USA
Arizona,Scottsdale,7014 E Camelback Rd,85251,Chipotle Scottsdale Fashion Square,(480) 941-4786,33.50399472511519,-111.92985740478647,https://locations.chipotle.com/../az/scottsdale/7014-e-camelback-rd,USA
Arizona,Scottsdale,8099 E McDowell Rd,85257,Chipotle Hayden & McDowell,(602) 830-4644,33.4653577,-111.9073883,https://locations.chipotle.com/../az/scottsdale/8099-e-mcdowell-rd,USA
Arizona,Scottsdale,9010 E Talking Stick Way,85250,Chipotle Scottsdale Pavilions,(480) 270-5370,33.5386903,-111.8876449,https://locations.chipotle.com/../az/scottsdale/9010-e-talking-stick-way,USA
Arizona,Scottsdale,9301 E Shea Blvd,85260,Chipotle 92nd & Shea,(480) 860-6901,33.58028500000003,-111.88103432944774,https://locations.chipotle.com/../az/scottsdale/9301-e-shea-blvd,USA
Arizona,Sedona,361 Forest Rd,86336,Chipotle Sedona,(928) 282-5800,34.8684072035899,-111.76191730343372,https://locations.chipotle.com/../az/sedona/361-forest-rd,USA
Arizona,Sierra Vista,480 N Highway 90 Byp,85635,Chipotle Sierra Vista,(520) 459-3562,31.55986473884307,-110.25793857170959,https://locations.chipotle.com/../az/sierra-vista/480-n-highway-90-byp,USA
Arizona,Surprise,13869 W Bell Rd,85374,Chipotle Surprise,(623) 544-2363,33.63829071307527,-112.3590925355993,https://locations.chipotle.com/../az/surprise/13869-w-bell-rd,USA
Arizona,Surprise,16810 W Waddell Rd,85388,Chipotle 303 & Waddell,(623) 265-6570,33.61048202336274,-112.42057356588008,https://locations.chipotle.com/../az/surprise/16810-w-waddell-rd,USA
Arizona,Tempe,1038 S Mill Ave,85281,Chipotle ASU,(480) 273-8800,33.41798133570578,-111.94040165583704,https://locations.chipotle.com/../az/tempe/1038-s-mill-ave,USA
Arizona,Tempe,1655 W Elliot Rd,85284,Chipotle Priest & Elliot Rd,(623) 231-3098,33.348634,-111.965379,https://locations.chipotle.com/../az/tempe/1655-w-elliot-rd,USA
Arizona,Tempe,2000 E Rio Salado Pkwy,85288,Chipotle Tempe Marketplace,(480) 829-0600,33.43397487875809,-111.90131958046948,https://locations.chipotle.com/../az/tempe/2000-e-rio-salado-pkwy,USA
Arizona,Tempe,2020 E Elliot Rd,85284,Chipotle Discovery,(480) 491-2569,33.3497932916613,-111.9014793061342,https://locations.chipotle.com/../az/tempe/2020-e-elliot-rd,USA
Arizona,Tempe,815 E Baseline Rd,85283,Chipotle Rural & Baseline,(480) 214-2122,33.37791758045822,-111.92908496080338,https://locations.chipotle.com/../az/tempe/815-e-baseline-rd,USA
Arizona,Tucson,1202 W Irvington Rd,85714,Chipotle I-19 & Irvington,(520) 294-0059,32.16395431844095,-110.9896125263815,https://locations.chipotle.com/../az/tucson/1202-w-irvington-rd,USA
Arizona,Tucson,1903 E Speedway Blvd,85719,Chipotle Speedway & Campbell II,(520) 302-4250,32.236527850280545,-110.94345887360345,https://locations.chipotle.com/../az/tucson/1903-e-speedway-blvd,USA
Arizona,Tucson,235 W Wetmore Rd,85705,Chipotle Tucson Mall,(520) 888-0444,32.286187017960835,-110.97557047489722,https://locations.chipotle.com/../az/tucson/235-w-wetmore-rd,USA
Arizona,Tucson,3055 N Campbell Ave,85719,Chipotle Campbell Village,(520) 325-1261,32.262380049822575,-110.94409368921954,https://locations.chipotle.com/../az/tucson/3055-n-campbell-ave,USA
Arizona,Tucson,3510 S Kino Pkwy,85713,Chipotle Bridges,(520) 999-3100,32.18393151018072,-110.94504076352588,https://locations.chipotle.com/../az/tucson/3510-s-kino-pkwy,USA
Arizona,Tucson,4857 E Grant Rd,85712,Chipotle 4857 E Grant Rd,(520) 910-0932,32.25177128286577,-110.89006690858098,https://locations.chipotle.com/../az/tucson/4857-e-grant-rd,USA
Arizona,Tucson,5353 E Broadway Blvd,85711,Chipotle Broadway & Craycroft,(520) 675-0484,32.222638975945905,-110.87664834462115,https://locations.chipotle.com/../az/tucson/5353-e-broadway-blvd,USA
Arizona,Tucson,6501 E Grant Rd,85715,Chipotle Grant and Tanque Verde,(520) 296-1163,32.25026412653463,-110.85154298893758,https://locations.chipotle.com/../az/tucson/6501-e-grant-rd,USA
Arizona,Tucson,7555 N La Cholla Blvd,85741,Chipotle Foothills,(520) 544-3868,32.343577682700435,-111.0133044276954,https://locations.chipotle.com/../az/tucson/7555-n-la-cholla-blvd,USA
Arizona,Tucson,905 E University Blvd,85719,Chipotle University Square,(520) 628-7967,32.231921707186025,-110.95746181562401,https://locations.chipotle.com/../az/tucson/905-e-university-blvd,USA
Arizona,Tucson,9484 E 22nd St,85710,Chipotle 22nd and Harrison,(520) 203-0004,32.20596149006868,-110.79014354983957,https://locations.chipotle.com/../az/tucson/9484-e-22nd-st,USA
Arizona,Yuma,1525 S Yuma Palms Pkwy,85365,Chipotle Yuma,(928) 783-3044,32.69978529949036,-114.60102888404407,https://locations.chipotle.com/../az/yuma/1525-s-yuma-palms-pkwy,USA
Arizona,Yuma,3080 S 4th Avenue,85364,Chipotle Big Curve,(928) 257-1776,32.699878140781735,-114.60100324176364,https://locations.chipotle.com/../az/yuma/3080-s-4th-avenue,USA
Arkansas,Bentonville,2400 SE Walton Blvd,72712,Chipotle Bentonville,(479) 271-2393,36.33465562169019,-94.18511392344067,https://locations.chipotle.com/../ar/bentonville/2400-se-walton-blvd,USA
Arkansas,Conway,915 E Oak St,72032,Chipotle Conway,(501) 504-2416,35.09110110357849,-92.41822973628291,https://locations.chipotle.com/../ar/conway/915-e-oak-st,USA
Arkansas,Fayetteville,3379 N College Ave,72703,Chipotle College & Millsap,(479) 251-1175,36.11273654734074,-94.14538540335559,https://locations.chipotle.com/../ar/fayetteville/3379-n-college-ave,USA
Arkansas,Fayetteville,550 W Dickson St,72701,Chipotle University of Arkansas,(479) 444-1466,36.066736703377906,-94.16612579287357,https://locations.chipotle.com/../ar/fayetteville/550-w-dickson-st,USA
Arkansas,Fort Smith,6205 Rogers Ave,72903,Chipotle Fort Smith,(479) 397-3244,35.36003037317708,-94.36369345648347,https://locations.chipotle.com/../ar/fort-smith/6205-rogers-ave,USA
Arkansas,Jonesboro,1737 S Caraway Rd,72401,Chipotle Jonesboro II,(870) 275-4038,35.82368295731481,-90.67842810504261,https://locations.chipotle.com/../ar/jonesboro/1737-s-caraway-rd,USA
Arkansas,Little Rock,100 S University Ave,72205,Chipotle University & Markham,(501) 404-2557,34.75201036980043,-92.34153181349183,https://locations.chipotle.com/../ar/little-rock/100-s-university-ave,USA
Arkansas,Little Rock,11525 Cantrell Rd,72212,Chipotle Pleasant Ridge Town Center,(501) 221-0018,34.793543504482834,-92.40281714293958,https://locations.chipotle.com/../ar/little-rock/11525-cantrell-rd,USA
Arkansas,Little Rock,12524 Chenal Pkwy,72211,Chipotle Chenal & Markham,(501) 451-6783,34.75374197773934,-92.41274805453453,https://locations.chipotle.com/../ar/little-rock/12524-chenal-pkwy,USA
Arkansas,North Little Rock,3917 McCain Blvd,72116,Chipotle North Little Rock,(501) 441-3940,34.79124760029005,-92.22818043189754,https://locations.chipotle.com/../ar/north-little-rock/3917-mccain-blvd,USA
California,Alameda,2314 S Shore Ctr,94501,Chipotle Alameda Island,(510) 337-1592,37.756040876734254,-122.25041514023036,https://locations.chipotle.com/../ca/alameda/2314-s-shore-ctr,USA
California,Alameda,2610 5th St,94501,Chipotle Alameda Landing,(510) 748-8949,37.78614100776162,-122.28120659723874,https://locations.chipotle.com/../ca/alameda/2610-5th-st,USA
California,Alhambra,2121 W Main St,91801,Chipotle Alhambra II,(626) 284-5509,34.09190525021675,-118.14524596502972,https://locations.chipotle.com/../ca/alhambra/2121-w-main-st,USA
